year_made,fuel_type,seats,mileage,ownership,transmission,fuel_economy,engine(cc),horsepower,torque(Nm),price,Make,Model
17,Diesel,5,38525,1,Manual,1498.0,986.0,986.0,200.0,6412.5,Honda,Jazz
10,Petrol,4,24854,1,Automatic,10.98,1984.0,1984.0,1144.0,16132.499999999998,Volkswagen,Beetle
23,Petrol,5,6387,1,Automatic,18.4,1498.0,1498.0,11935.0,21600.0,Honda,City
15,Petrol,5,10738,1,Manual,21.4,1197.0,1197.0,831.0,7357.5,Maruti,Baleno
19,Petrol,5,18951,1,Automatic,14.4,1997.0,1997.0,15189.0,30982.5,Honda,CR-V
20,Diesel,5,37751,1,Manual,20.8,1493.0,1493.0,11343.0,18238.5,Kia,Seltos
21,Petrol,5,15534,2,Automatic,11.9,1950.0,1950.0,20115.0,55012.5,Mercedes-Benz,C-Class
18,Diesel,7,29204,1,Manual,15.4,2179.0,2179.0,13678.0,19575.0,Mahindra,Scorpio
20,Petrol,5,36857,1,Automatic,16.2,1353.0,1353.0,138.0,18886.5,Kia,Seltos
21,Petrol,5,29825,3,Manual,17.1,1496.0,1496.0,1055.0,9382.5,Toyota,Yaris
23,Petrol,5,12427,1,Automatic,14.82,1998.0,1998.0,24808.0,87750.0,BMW,5
20,Petrol,5,7769,1,Automatic,22.0,999.0,999.0,67.0,6952.500000000001,Renault,KWID
21,Petrol,5,6213,1,Manual,14.3,1368.0,1368.0,16077.0,21532.5,Jeep,Compass
11,Petrol,5,45805,2,Manual,16.1,1197.0,1197.0,85.0,3253.5,Maruti,Swift
20,Diesel,7,55923,2,Automatic,11.3,2987.0,2987.0,2548.0,43875.0,Mercedes-Benz,GL-Class
17,Petrol,5,10563,1,Automatic,17.1,1199.0,1199.0,8850.0,8032.5,Honda,Jazz
14,Petrol,5,22398,1,Automatic,18.9,1197.0,1197.0,82.0,5832.0,Hyundai,Grand
18,CNG,5,27961,1,Manual,998.0,5833.0,5833.0,78.0,6007.5,Maruti,Wagon
20,Diesel,5,62137,1,Manual,19.3,1248.0,1248.0,739.0,2700.0,Maruti,Swift
16,Petrol,5,31068,2,Manual,20.36,1197.0,1197.0,789.0,4657.5,Hyundai,i10
18,Petrol,5,31689,1,Manual,22.0,1197.0,1197.0,8180.0,7425.0,Maruti,Swift
18,Diesel,7,38525,2,Manual,2179.0,15287.0,15287.0,360.0,11475.0,Mahindra,XUV500
23,Petrol,5,6387,1,Automatic,18.4,1498.0,1498.0,11935.0,21600.0,Honda,City
15,Petrol,5,10738,1,Manual,21.4,1197.0,1197.0,831.0,7357.5,Maruti,Baleno
19,Petrol,5,18951,1,Automatic,14.4,1997.0,1997.0,15189.0,30982.5,Honda,CR-V
20,Diesel,5,37751,1,Manual,20.8,1493.0,1493.0,11343.0,18238.5,Kia,Seltos
21,Petrol,5,15534,2,Automatic,11.9,1950.0,1950.0,20115.0,55012.5,Mercedes-Benz,C-Class
18,Diesel,7,29204,1,Manual,15.4,2179.0,2179.0,13678.0,19575.0,Mahindra,Scorpio
20,Petrol,5,36857,1,Automatic,16.2,1353.0,1353.0,138.0,18886.5,Kia,Seltos
21,Petrol,5,29825,3,Manual,17.1,1496.0,1496.0,1055.0,9382.5,Toyota,Yaris
23,Petrol,5,12427,1,Automatic,14.82,1998.0,1998.0,24808.0,87750.0,BMW,5
20,Petrol,5,7769,1,Automatic,22.0,999.0,999.0,67.0,6952.500000000001,Renault,KWID
21,Petrol,5,6213,1,Manual,14.3,1368.0,1368.0,16077.0,21532.5,Jeep,Compass
11,Petrol,5,45805,2,Manual,16.1,1197.0,1197.0,85.0,3253.5,Maruti,Swift
20,Diesel,7,55923,2,Automatic,11.3,2987.0,2987.0,2548.0,43875.0,Mercedes-Benz,GL-Class
17,Petrol,5,10563,1,Automatic,17.1,1199.0,1199.0,8850.0,8032.5,Honda,Jazz
14,Petrol,5,22398,1,Automatic,18.9,1197.0,1197.0,82.0,5832.0,Hyundai,Grand
18,CNG,5,27961,1,Manual,998.0,5833.0,5833.0,78.0,6007.5,Maruti,Wagon
20,Diesel,5,62137,1,Manual,19.3,1248.0,1248.0,739.0,2700.0,Maruti,Swift
16,Petrol,5,31068,2,Manual,20.36,1197.0,1197.0,789.0,4657.5,Hyundai,i10
18,Petrol,5,31689,1,Manual,22.0,1197.0,1197.0,8180.0,7425.0,Maruti,Swift
18,Diesel,7,38525,2,Manual,2179.0,15287.0,15287.0,360.0,11475.0,Mahindra,XUV500
17,Petrol,5,27961,1,Automatic,19.16,2494.0,2494.0,1577.0,30375.0,Toyota,Camry
21,Petrol,5,10588,1,Automatic,20.28,998.0,998.0,11841.0,14161.5,Hyundai,i20
18,Diesel,7,30447,1,Manual,16.0,1997.0,1997.0,140.0,12487.5,Mahindra,XUV500
20,Petrol,5,14656,1,Manual,18.27,998.0,998.0,11835.0,12419.999999999998,Hyundai,Venue
18,Diesel,5,31068,2,Automatic,17.9,2143.0,2143.0,1341.0,29700.0,Mercedes-Benz,CLA
17,Diesel,7,47224,1,Automatic,11.36,2755.0,2755.0,1715.0,19912.5,Toyota,Innova
19,Petrol,5,30659,1,Manual,21.01,1197.0,1197.0,8180.0,7776.0,Maruti,Baleno
13,Petrol,5,34796,1,Manual,18.0,1198.0,1198.0,867.0,4387.5,Honda,Amaze
23,Petrol,6,7456,1,Automatic,12.34,1451.0,1451.0,141.0,28350.0,MG,Hector
14,Petrol,5,32146,1,Manual,17.8,1497.0,1497.0,1173.0,7722.0,Honda,City
18,Petrol,5,13670,1,Manual,22.0,1197.0,1197.0,8180.0,7762.5,Maruti,Swift
18,Diesel,5,28013,1,Manual,20.5,1582.0,1582.0,1262.0,12447.0,Hyundai,Creta
20,Diesel,7,12427,1,Automatic,15.4,2179.0,2179.0,120.0,14850.0,Mahindra,Scorpio
16,Petrol,5,18019,1,Manual,17.8,1198.0,1198.0,867.0,6480.0,Honda,Amaze
22,Petrol,5,10416,1,Manual,18.27,998.0,998.0,11835.0,13081.5,Hyundai,Venue
22,Petrol,5,3728,1,Manual,19.33,1199.0,1199.0,8683.0,9382.5,Tata,Altroz
20,Diesel,5,37282,1,Automatic,2993.0,26149.0,26149.0,620.0,74250.0,BMW,7
15,Diesel,7,53437,1,Manual,15.1,2179.0,2179.0,140.0,7357.5,Mahindra,XUV500
18,Petrol,5,14912,1,Automatic,17.1,1199.0,1199.0,8850.0,8842.5,Honda,Jazz
21,Petrol,5,5592,1,Manual,20.36,1197.0,1197.0,8180.0,10462.5,Hyundai,Venue
17,Petrol,5,27961,1,Automatic,19.16,2494.0,2494.0,1577.0,30375.0,Toyota,Camry
21,Petrol,5,10588,1,Automatic,20.28,998.0,998.0,11841.0,14161.5,Hyundai,i20
18,Diesel,7,30447,1,Manual,16.0,1997.0,1997.0,140.0,12487.5,Mahindra,XUV500
20,Petrol,5,14656,1,Manual,18.27,998.0,998.0,11835.0,12419.999999999998,Hyundai,Venue
18,Diesel,5,31068,2,Automatic,17.9,2143.0,2143.0,1341.0,29700.0,Mercedes-Benz,CLA
17,Diesel,7,47224,1,Automatic,11.36,2755.0,2755.0,1715.0,19912.5,Toyota,Innova
19,Petrol,5,30659,1,Manual,21.01,1197.0,1197.0,8180.0,7776.0,Maruti,Baleno
13,Petrol,5,34796,1,Manual,18.0,1198.0,1198.0,867.0,4387.5,Honda,Amaze
23,Petrol,6,7456,1,Automatic,12.34,1451.0,1451.0,141.0,28350.0,MG,Hector
14,Petrol,5,32146,1,Manual,17.8,1497.0,1497.0,1173.0,7722.0,Honda,City
18,Petrol,5,13670,1,Manual,22.0,1197.0,1197.0,8180.0,7762.5,Maruti,Swift
18,Diesel,5,28013,1,Manual,20.5,1582.0,1582.0,1262.0,12447.0,Hyundai,Creta
20,Diesel,7,12427,1,Automatic,15.4,2179.0,2179.0,120.0,14850.0,Mahindra,Scorpio
16,Petrol,5,18019,1,Manual,17.8,1198.0,1198.0,867.0,6480.0,Honda,Amaze
22,Petrol,5,10416,1,Manual,18.27,998.0,998.0,11835.0,13081.5,Hyundai,Venue
22,Petrol,5,3728,1,Manual,19.33,1199.0,1199.0,8683.0,9382.5,Tata,Altroz
20,Diesel,5,37282,1,Automatic,2993.0,26149.0,26149.0,620.0,74250.0,BMW,7
15,Diesel,7,53437,1,Manual,15.1,2179.0,2179.0,140.0,7357.5,Mahindra,XUV500
18,Petrol,5,14912,1,Automatic,17.1,1199.0,1199.0,8850.0,8842.5,Honda,Jazz
21,Petrol,5,5592,1,Manual,20.36,1197.0,1197.0,8180.0,10462.5,Hyundai,Venue
22,Petrol,7,9258,1,Automatic,16.5,1353.0,1353.0,13805.0,22275.0,Kia,Carens
22,Petrol,5,10670,2,Automatic,20.25,998.0,998.0,11841.0,13945.5,Hyundai,i20
20,Diesel,5,20505,1,Automatic,1950.0,24138.0,24138.0,500.0,105300.0,Mercedes-Benz,GLE
16,Petrol,5,23612,2,Manual,25.17,799.0,799.0,533.0,2497.5,Renault,KWID
23,Petrol,5,7146,1,Manual,19.33,1199.0,1199.0,8683.0,11124.0,Tata,Altroz
22,Diesel,5,27155,1,Automatic,1950.0,24138.0,24138.0,500.0,111915.00000000001,Mercedes-Benz,GLE
21,Diesel,7,18516,1,Automatic,2755.0,20115.0,20115.0,500.0,59400.0,Toyota,Fortuner
20,Petrol,5,13701,1,Manual,21.01,1197.0,1197.0,8180.0,9423.0,Maruti,Baleno
21,Petrol,5,20483,1,Manual,1197.0,8180.0,8180.0,113.0,7762.5,Maruti,Baleno
14,Petrol,5,60020,1,Manual,1086.0,6805.0,6805.0,9904.0,3685.5,Hyundai,i10
20,Petrol,5,31068,1,Manual,17.01,1591.0,1591.0,1213.0,9112.5,Hyundai,Verna
22,Petrol,5,9320,1,Automatic,14.82,1998.0,1998.0,18908.0,56700.0,BMW,2
20,Petrol,5,16862,1,Manual,19.01,1199.0,1199.0,8482.0,7992.0,Tata,Tiago
22,Petrol,5,9320,1,Manual,21.4,1197.0,1197.0,831.0,9787.5,Maruti,Baleno
20,Diesel,4,6213,1,Automatic,19.4,2143.0,2143.0,204.0,51300.0,Mercedes-Benz,CLS-Class
23,Petrol,7,5592,1,Automatic,1997.0,200.0,200.0,380.0,31657.5,Mahindra,Scorpio
21,Petrol,5,6213,1,Manual,18.2,998.0,998.0,11836.0,13769.999999999998,Kia,Sonet
20,Diesel,5,43495,1,Automatic,18.0,1493.0,1493.0,11343.0,20182.5,Kia,Seltos
20,Diesel,5,18641,1,Automatic,12.6,1950.0,1950.0,194.0,50625.0,Mercedes-Benz,C-Class
22,Petrol,5,10366,1,Automatic,20.25,998.0,998.0,11841.0,14998.5,Hyundai,i20
19,Petrol,5,18641,1,Automatic,2996.0,38487.0,38487.0,520.0,90450.0,Mercedes-Benz,AMG
12,Petrol,5,57503,1,Manual,1197.0,8180.0,8180.0,113.0,3699.0000000000005,Maruti,Swift
21,Petrol,7,15534,1,Automatic,1999.0,19713.0,19713.0,380.0,33412.5,Mahindra,XUV700
16,Diesel,5,37201,1,Manual,21.7,1498.0,1498.0,9896.0,6682.5,Ford,Ecosport
16,Petrol,5,38959,1,Manual,18.6,1197.0,1197.0,8183.0,7047.0,Hyundai,i20
19,Diesel,5,26179,1,Automatic,17.8,1493.0,1493.0,1134.0,19912.5,Kia,Seltos
18,Petrol,5,19883,1,Automatic,15.04,1991.0,1991.0,183.0,34762.5,Mercedes-Benz,CLA
10,Petrol,5,36581,1,Manual,19.0,998.0,998.0,661.0,2457.0,Maruti,A-Star
18,Petrol,5,6213,1,Automatic,14.99,1498.0,1498.0,1045.0,10732.5,Renault,Duster
23,Petrol,5,8742,1,Manual,19.33,1199.0,1199.0,8683.0,11124.0,Tata,Altroz
20,Diesel,5,62137,1,Automatic,1461.0,1085.0,1085.0,248.0,8100.0,Nissan,Terrano
14,Diesel,5,49709,1,Manual,19.01,1461.0,1461.0,10845.0,3847.5,Renault,Duster
16,Petrol,5,35699,1,Manual,17.8,1497.0,1497.0,1173.0,8424.0,Honda,City
11,Petrol,5,41456,2,Manual,1196.0,70.0,70.0,102.0,94500000.0,Ford,Figo
20,Diesel,7,24854,2,Automatic,11.0,2987.0,2987.0,258.0,58495.5,Mercedes-Benz,GLS
22,Petrol,5,10210,1,Automatic,1969.0,18740.0,18740.0,300.0,59062.5,Volvo,XC40
18,Petrol,5,11097,1,Automatic,15.71,1998.0,1998.0,189.0,40365.0,BMW,X1
20,Diesel,7,32311,1,Automatic,11.36,2755.0,2755.0,1715.0,30375.0,Toyota,Innova
20,Diesel,5,18641,1,Automatic,12.6,1950.0,1950.0,194.0,50625.0,Mercedes-Benz,C-Class
22,Petrol,5,10366,1,Automatic,20.25,998.0,998.0,11841.0,14998.5,Hyundai,i20
19,Petrol,5,18641,1,Automatic,2996.0,38487.0,38487.0,520.0,90450.0,Mercedes-Benz,AMG
12,Petrol,5,57503,1,Manual,1197.0,8180.0,8180.0,113.0,3699.0000000000005,Maruti,Swift
21,Petrol,7,15534,1,Automatic,1999.0,19713.0,19713.0,380.0,33412.5,Mahindra,XUV700
16,Diesel,5,37201,1,Manual,21.7,1498.0,1498.0,9896.0,6682.5,Ford,Ecosport
16,Petrol,5,38959,1,Manual,18.6,1197.0,1197.0,8183.0,7047.0,Hyundai,i20
19,Diesel,5,26179,1,Automatic,17.8,1493.0,1493.0,1134.0,19912.5,Kia,Seltos
18,Petrol,5,19883,1,Automatic,15.04,1991.0,1991.0,183.0,34762.5,Mercedes-Benz,CLA
10,Petrol,5,36581,1,Manual,19.0,998.0,998.0,661.0,2457.0,Maruti,A-Star
18,Petrol,5,6213,1,Automatic,14.99,1498.0,1498.0,1045.0,10732.5,Renault,Duster
23,Petrol,5,8742,1,Manual,19.33,1199.0,1199.0,8683.0,11124.0,Tata,Altroz
20,Diesel,5,62137,1,Automatic,1461.0,1085.0,1085.0,248.0,8100.0,Nissan,Terrano
14,Diesel,5,49709,1,Manual,19.01,1461.0,1461.0,10845.0,3847.5,Renault,Duster
16,Petrol,5,35699,1,Manual,17.8,1497.0,1497.0,1173.0,8424.0,Honda,City
11,Petrol,5,41456,2,Manual,1196.0,70.0,70.0,102.0,94500000.0,Ford,Figo
20,Diesel,7,24854,2,Automatic,11.0,2987.0,2987.0,258.0,58495.5,Mercedes-Benz,GLS
22,Petrol,5,10210,1,Automatic,1969.0,18740.0,18740.0,300.0,59062.5,Volvo,XC40
18,Petrol,5,11097,1,Automatic,15.71,1998.0,1998.0,189.0,40365.0,BMW,X1
20,Diesel,7,32311,1,Automatic,11.36,2755.0,2755.0,1715.0,30375.0,Toyota,Innova
20,Diesel,5,16901,1,Automatic,13.5,2925.0,2925.0,28161.0,103950.0,Mercedes-Benz,S-Class
14,Petrol,5,15695,1,Manual,18.9,1197.0,1197.0,82.0,5899.5,Hyundai,Grand
20,Diesel,5,13310,2,Automatic,20.37,1995.0,1995.0,18774.0,61965.0,BMW,5
15,Petrol,5,43629,1,Manual,20.36,1197.0,1197.0,789.0,4158.0,Hyundai,i10
22,Diesel,6,20443,1,Automatic,23.8,1493.0,1493.0,11398.0,27000.0,Hyundai,Alcazar
21,Petrol,5,24882,1,Automatic,11.9,1950.0,1950.0,20115.0,59265.0,Mercedes-Benz,C-Class
11,Petrol,5,46602,1,Manual,19.0,998.0,998.0,661.0,2268.0,Maruti,A-Star
21,Petrol,5,20085,1,Automatic,11.9,1950.0,1950.0,20115.0,60615.0,Mercedes-Benz,C-Class
21,Diesel,6,42253,1,Automatic,12.4,1996.0,1996.0,21501.0,44550.0,MG,Gloster
15,Petrol,5,48778,1,Automatic,20.7,1197.0,1197.0,8186.0,5319.0,Hyundai,Grand
19,Petrol,7,29113,1,Automatic,12.83,1997.0,1997.0,23736.0,61965.0,Land,Rover
21,Petrol,5,16847,1,Manual,21.01,1197.0,1197.0,8180.0,9693.0,Maruti,Baleno
20,Petrol,5,6213,1,Automatic,998.0,11841.0,11841.0,172.0,15794.999999999998,Hyundai,i20
17,Petrol,5,54680,1,Automatic,13.0,1591.0,1591.0,1213.0,11677.5,Hyundai,Creta
13,Petrol,5,36276,1,Manual,19.1,1197.0,1197.0,858.0,4779.0,Maruti,Swift
20,Diesel,5,18641,1,Automatic,1995.0,188.0,188.0,400.0,26325.0,BMW,X1
20,Petrol,5,49709,2,Manual,15.0,1598.0,1598.0,1036.0,4455.0,Skoda,Rapid
20,Petrol,5,20274,1,Automatic,11.9,1950.0,1950.0,20115.0,56565.0,Mercedes-Benz,C-Class
21,Diesel,6,21747,1,Automatic,12.4,1996.0,1996.0,21501.0,48600.0,MG,Gloster
14,Petrol,5,41795,2,Manual,1197.0,82.0,82.0,114.0,4414.5,Hyundai,Grand
19,Diesel,6,10563,1,Automatic,16.0,1950.0,1950.0,16092.0,87750.0,Mercedes-Benz,V-Class
13,CNG,5,48208,2,Manual,26.6,998.0,998.0,5816.0,3779.9999999999995,Maruti,Wagon
16,Petrol,4,31068,1,Automatic,7.81,4663.0,4663.0,459.0,132975.0,Mercedes-Benz,S-Class
20,Diesel,7,43495,1,Manual,15.4,2179.0,2179.0,120.0,12150.0,Mahindra,Scorpio
13,Petrol,5,44724,2,Manual,1197.0,8180.0,8180.0,113.0,3969.0,Maruti,Swift
17,Petrol,5,32740,2,Manual,20.89,1197.0,1197.0,8180.0,5670.0,Maruti,Ignis
22,Petrol,5,7394,1,Automatic,14.0,1497.0,1497.0,11318.0,24637.5,Hyundai,Creta
17,Petrol,5,33396,1,Manual,18.6,1197.0,1197.0,8183.0,7789.499999999999,Hyundai,i20
20,Diesel,5,20083,1,Automatic,16.55,1995.0,1995.0,1877.0,67365.0,BMW,X3
15,Petrol,5,34476,1,Manual,19.4,1198.0,1198.0,868.0,4522.5,Honda,Brio
20,Petrol,6,12427,1,Automatic,1451.0,141.0,141.0,250.0,23625.0,MG,Hector
18,Petrol,5,33554,2,Automatic,15.8,1997.0,1997.0,247.0,80662.5,Land,Rover
17,Petrol,5,30698,1,Manual,21.4,1197.0,1197.0,831.0,7344.000000000001,Maruti,Baleno
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
20,Diesel,7,62137,1,Automatic,10.91,3198.0,3198.0,197.0,30375.0,Ford,Endeavour
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
21,Diesel,6,21747,1,Automatic,12.4,1996.0,1996.0,21501.0,48600.0,MG,Gloster
14,Petrol,5,41795,2,Manual,1197.0,82.0,82.0,114.0,4414.5,Hyundai,Grand
19,Diesel,6,10563,1,Automatic,16.0,1950.0,1950.0,16092.0,87750.0,Mercedes-Benz,V-Class
13,CNG,5,48208,2,Manual,26.6,998.0,998.0,5816.0,3779.9999999999995,Maruti,Wagon
16,Petrol,4,31068,1,Automatic,7.81,4663.0,4663.0,459.0,132975.0,Mercedes-Benz,S-Class
20,Diesel,7,43495,1,Manual,15.4,2179.0,2179.0,120.0,12150.0,Mahindra,Scorpio
13,Petrol,5,44724,2,Manual,1197.0,8180.0,8180.0,113.0,3969.0,Maruti,Swift
17,Petrol,5,32740,2,Manual,20.89,1197.0,1197.0,8180.0,5670.0,Maruti,Ignis
22,Petrol,5,7394,1,Automatic,14.0,1497.0,1497.0,11318.0,24637.5,Hyundai,Creta
17,Petrol,5,33396,1,Manual,18.6,1197.0,1197.0,8183.0,7789.499999999999,Hyundai,i20
20,Diesel,5,20083,1,Automatic,16.55,1995.0,1995.0,1877.0,67365.0,BMW,X3
15,Petrol,5,34476,1,Manual,19.4,1198.0,1198.0,868.0,4522.5,Honda,Brio
20,Petrol,6,12427,1,Automatic,1451.0,141.0,141.0,250.0,23625.0,MG,Hector
18,Petrol,5,33554,2,Automatic,15.8,1997.0,1997.0,247.0,80662.5,Land,Rover
17,Petrol,5,30698,1,Manual,21.4,1197.0,1197.0,831.0,7344.000000000001,Maruti,Baleno
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
20,Diesel,7,62137,1,Automatic,10.91,3198.0,3198.0,197.0,30375.0,Ford,Endeavour
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
22,Petrol,7,4970,1,Automatic,1997.0,200.0,200.0,380.0,32400.0,Mahindra,Scorpio
14,Petrol,5,21027,1,Manual,998.0,671.0,671.0,90.0,4279.5,Maruti,Wagon
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
23,Petrol,5,5745,1,Manual,19.4,999.0,999.0,11398.0,21087.0,Volkswagen,Virtus
18,Petrol,7,26097,1,Automatic,10.75,2694.0,2694.0,1637.0,24164.999999999996,Toyota,Innova
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
18,Diesel,5,26384,1,Manual,27.28,1047.0,1047.0,69.0,5805.0,Tata,Tiago
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
21,Diesel,7,18641,1,Automatic,12.05,2157.0,2157.0,17849.0,33412.5,Mahindra,Alturas
12,Petrol,5,60061,1,Manual,18.5,1197.0,1197.0,8285.0,3334.5000000000005,Hyundai,i20
20,Diesel,5,19883,1,Automatic,1995.0,188.0,188.0,400.0,24570.0,BMW,X1
14,Petrol,5,24210,1,Manual,18.9,1197.0,1197.0,82.0,5575.5,Hyundai,Grand
