index,year_made,fuel_type,seats,mileage,ownership,transmission,fuel_economy,engine(cc),horsepower,torque(Nm),price,Make,Model
127,13,Petrol,5,34796,1,Manual,18,1198,1198,867,4387.5,Honda,Amaze
128,23,Petrol,6,7456,1,Automatic,12.34,1451,1451,141,28350,MG,Hector
129,14,Petrol,5,32146,1,Manual,17.8,1497,1497,1173,7722,Honda,City
130,18,Petrol,5,13670,1,Manual,22,1197,1197,8180,7762.5,Maruti,Swift
131,18,Diesel,5,28013,1,Manual,20.5,1582,1582,1262,12447,Hyundai,Creta
132,20,Diesel,7,12427,1,Automatic,15.4,2179,2179,120,14850,Mahindra,Scorpio
133,16,Petrol,5,18019,1,Manual,17.8,1198,1198,867,6480,Honda,Amaze
134,22,Petrol,5,10416,1,Manual,18.27,998,998,11835,13081.5,Hyundai,Venue
135,22,Petrol,5,3728,1,Manual,19.33,1199,1199,8683,9382.5,Tata,Altroz
136,20,Diesel,5,37282,1,Automatic,2993,26149,26149,620,74250,BMW,7
137,15,Diesel,7,53437,1,Manual,15.1,2179,2179,140,7357.5,Mahindra,XUV500
138,18,Petrol,5,14912,1,Automatic,17.1,1199,1199,8850,8842.5,Honda,Jazz
139,21,Petrol,5,5592,1,Manual,20.36,1197,1197,8180,10462.5,Hyundai,Venue
140,22,Petrol,7,9258,1,Automatic,16.5,1353,1353,13805,22275,Kia,Carens
141,22,Petrol,5,10670,2,Automatic,20.25,998,998,11841,13945.5,Hyundai,i20
142,20,Diesel,5,20505,1,Automatic,1950,24138,24138,500,105300,Mercedes-Benz,GLE
143,16,Petrol,5,23612,2,Manual,25.17,799,799,533,2497.5,Renault,KWID
144,23,Petrol,5,7146,1,Manual,19.33,1199,1199,8683,11124,Tata,Altroz
145,22,Diesel,5,27155,1,Automatic,1950,24138,24138,500,111915.00000000001,Mercedes-Benz,GLE
146,21,Diesel,7,18516,1,Automatic,2755,20115,20115,500,59400,Toyota,Fortuner
147,20,Petrol,5,13701,1,Manual,21.01,1197,1197,8180,9423,Maruti,Baleno
148,21,Petrol,5,20483,1,Manual,1197,8180,8180,113,7762.5,Maruti,Baleno
149,14,Petrol,5,60020,1,Manual,1086,6805,6805,9904,3685.5,Hyundai,i10
150,20,Petrol,5,31068,1,Manual,17.01,1591,1591,1213,9112.5,Hyundai,Verna
151,22,Petrol,5,9320,1,Automatic,14.82,1998,1998,18908,56700,BMW,2
152,20,Petrol,5,16862,1,Manual,19.01,1199,1199,8482,7992,Tata,Tiago
153,22,Petrol,5,9320,1,Manual,21.4,1197,1197,831,9787.5,Maruti,Baleno
154,20,Diesel,4,6213,1,Automatic,19.4,2143,2143,204,51300,Mercedes-Benz,CLS-Class
155,23,Petrol,7,5592,1,Automatic,1997,200,200,380,31657.5,Mahindra,Scorpio
156,21,Petrol,5,6213,1,Manual,18.2,998,998,11836,13769.999999999998,Kia,Sonet
157,20,Diesel,5,43495,1,Automatic,18,1493,1493,11343,20182.5,Kia,Seltos
158,20,Diesel,5,18641,1,Automatic,12.6,1950,1950,194,50625,Mercedes-Benz,C-Class
159,22,Petrol,5,10366,1,Automatic,20.25,998,998,11841,14998.5,Hyundai,i20
160,19,Petrol,5,18641,1,Automatic,2996,38487,38487,520,90450,Mercedes-Benz,AMG
161,12,Petrol,5,57503,1,Manual,1197,8180,8180,113,3699.0000000000005,Maruti,Swift
162,21,Petrol,7,15534,1,Automatic,1999,19713,19713,380,33412.5,Mahindra,XUV700
163,16,Diesel,5,37201,1,Manual,21.7,1498,1498,9896,6682.5,Ford,Ecosport
164,16,Petrol,5,38959,1,Manual,18.6,1197,1197,8183,7047,Hyundai,i20
165,19,Diesel,5,26179,1,Automatic,17.8,1493,1493,1134,19912.5,Kia,Seltos
166,18,Petrol,5,19883,1,Automatic,15.04,1991,1991,183,34762.5,Mercedes-Benz,CLA
167,10,Petrol,5,36581,1,Manual,19,998,998,661,2457,Maruti,A-Star
168,18,Petrol,5,6213,1,Automatic,14.99,1498,1498,1045,10732.5,Renault,Duster
169,23,Petrol,5,8742,1,Manual,19.33,1199,1199,8683,11124,Tata,Altroz
170,20,Diesel,5,62137,1,Automatic,1461,1085,1085,248,8100,Nissan,Terrano
171,14,Diesel,5,49709,1,Manual,19.01,1461,1461,10845,3847.5,Renault,Duster
172,16,Petrol,5,35699,1,Manual,17.8,1497,1497,1173,8424,Honda,City
173,11,Petrol,5,41456,2,Manual,1196,70,70,102,94500000,Ford,Figo
174,20,Diesel,7,24854,2,Automatic,11,2987,2987,258,58495.5,Mercedes-Benz,GLS
175,22,Petrol,5,10210,1,Automatic,1969,18740,18740,300,59062.5,Volvo,XC40
176,18,Petrol,5,11097,1,Automatic,15.71,1998,1998,189,40365,BMW,X1
177,20,Diesel,7,32311,1,Automatic,11.36,2755,2755,1715,30375,Toyota,Innova
178,20,Diesel,5,18641,1,Automatic,12.6,1950,1950,194,50625,Mercedes-Benz,C-Class
179,22,Petrol,5,10366,1,Automatic,20.25,998,998,11841,14998.5,Hyundai,i20
180,19,Petrol,5,18641,1,Automatic,2996,38487,38487,520,90450,Mercedes-Benz,AMG
181,12,Petrol,5,57503,1,Manual,1197,8180,8180,113,3699.0000000000005,Maruti,Swift
182,21,Petrol,7,15534,1,Automatic,1999,19713,19713,380,33412.5,Mahindra,XUV700
183,16,Diesel,5,37201,1,Manual,21.7,1498,1498,9896,6682.5,Ford,Ecosport
184,16,Petrol,5,38959,1,Manual,18.6,1197,1197,8183,7047,Hyundai,i20
185,19,Diesel,5,26179,1,Automatic,17.8,1493,1493,1134,19912.5,Kia,Seltos
186,18,Petrol,5,19883,1,Automatic,15.04,1991,1991,183,34762.5,Mercedes-Benz,CLA
187,10,Petrol,5,36581,1,Manual,19,998,998,661,2457,Maruti,A-Star
188,18,Petrol,5,6213,1,Automatic,14.99,1498,1498,1045,10732.5,Renault,Duster
189,23,Petrol,5,8742,1,Manual,19.33,1199,1199,8683,11124,Tata,Altroz
190,20,Diesel,5,62137,1,Automatic,1461,1085,1085,248,8100,Nissan,Terrano
191,14,Diesel,5,49709,1,Manual,19.01,1461,1461,10845,3847.5,Renault,Duster
192,16,Petrol,5,35699,1,Manual,17.8,1497,1497,1173,8424,Honda,City
193,11,Petrol,5,41456,2,Manual,1196,70,70,102,94500000,Ford,Figo
194,20,Diesel,7,24854,2,Automatic,11,2987,2987,258,58495.5,Mercedes-Benz,GLS
195,22,Petrol,5,10210,1,Automatic,1969,18740,18740,300,59062.5,Volvo,XC40
196,18,Petrol,5,11097,1,Automatic,15.71,1998,1998,189,40365,BMW,X1
197,20,Diesel,7,32311,1,Automatic,11.36,2755,2755,1715,30375,Toyota,Innova
198,20,Diesel,5,16901,1,Automatic,13.5,2925,2925,28161,103950,Mercedes-Benz,S-Class
199,14,Petrol,5,15695,1,Manual,18.9,1197,1197,82,5899.5,Hyundai,Grand
200,20,Diesel,5,13310,2,Automatic,20.37,1995,1995,18774,61965,BMW,5
201,15,Petrol,5,43629,1,Manual,20.36,1197,1197,789,4158,Hyundai,i10
202,22,Diesel,6,20443,1,Automatic,23.8,1493,1493,11398,27000,Hyundai,Alcazar
203,21,Petrol,5,24882,1,Automatic,11.9,1950,1950,20115,59265,Mercedes-Benz,C-Class
204,11,Petrol,5,46602,1,Manual,19,998,998,661,2268,Maruti,A-Star
205,21,Petrol,5,20085,1,Automatic,11.9,1950,1950,20115,60615,Mercedes-Benz,C-Class
206,21,Diesel,6,42253,1,Automatic,12.4,1996,1996,21501,44550,MG,Gloster
207,15,Petrol,5,48778,1,Automatic,20.7,1197,1197,8186,5319,Hyundai,Grand
208,19,Petrol,7,29113,1,Automatic,12.83,1997,1997,23736,61965,Land,Rover
209,21,Petrol,5,16847,1,Manual,21.01,1197,1197,8180,9693,Maruti,Baleno
210,20,Petrol,5,6213,1,Automatic,998,11841,11841,172,15794.999999999998,Hyundai,i20
211,17,Petrol,5,54680,1,Automatic,13,1591,1591,1213,11677.5,Hyundai,Creta
212,13,Petrol,5,36276,1,Manual,19.1,1197,1197,858,4779,Maruti,Swift
213,20,Diesel,5,18641,1,Automatic,1995,188,188,400,26325,BMW,X1
214,20,Petrol,5,49709,2,Manual,15,1598,1598,1036,4455,Skoda,Rapid
215,20,Petrol,5,20274,1,Automatic,11.9,1950,1950,20115,56565,Mercedes-Benz,C-Class
216,21,Diesel,6,21747,1,Automatic,12.4,1996,1996,21501,48600,MG,Gloster
217,14,Petrol,5,41795,2,Manual,1197,82,82,114,4414.5,Hyundai,Grand
218,19,Diesel,6,10563,1,Automatic,16,1950,1950,16092,87750,Mercedes-Benz,V-Class
219,13,CNG,5,48208,2,Manual,26.6,998,998,5816,3779.9999999999995,Maruti,Wagon
220,16,Petrol,4,31068,1,Automatic,7.81,4663,4663,459,132975,Mercedes-Benz,S-Class
221,20,Diesel,7,43495,1,Manual,15.4,2179,2179,120,12150,Mahindra,Scorpio
222,13,Petrol,5,44724,2,Manual,1197,8180,8180,113,3969,Maruti,Swift
223,17,Petrol,5,32740,2,Manual,20.89,1197,1197,8180,5670,Maruti,Ignis
224,22,Petrol,5,7394,1,Automatic,14,1497,1497,11318,24637.5,Hyundai,Creta
225,17,Petrol,5,33396,1,Manual,18.6,1197,1197,8183,7789.499999999999,Hyundai,i20
226,20,Diesel,5,20083,1,Automatic,16.55,1995,1995,1877,67365,BMW,X3
227,15,Petrol,5,34476,1,Manual,19.4,1198,1198,868,4522.5,Honda,Brio
228,20,Petrol,6,12427,1,Automatic,1451,141,141,250,23625,MG,Hector
229,18,Petrol,5,33554,2,Automatic,15.8,1997,1997,247,80662.5,Land,Rover
230,17,Petrol,5,30698,1,Manual,21.4,1197,1197,831,7344.000000000001,Maruti,Baleno
231,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
232,20,Diesel,7,62137,1,Automatic,10.91,3198,3198,197,30375,Ford,Endeavour
233,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
234,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
235,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
236,21,Diesel,6,21747,1,Automatic,12.4,1996,1996,21501,48600,MG,Gloster
237,14,Petrol,5,41795,2,Manual,1197,82,82,114,4414.5,Hyundai,Grand
238,19,Diesel,6,10563,1,Automatic,16,1950,1950,16092,87750,Mercedes-Benz,V-Class
239,13,CNG,5,48208,2,Manual,26.6,998,998,5816,3779.9999999999995,Maruti,Wagon
240,16,Petrol,4,31068,1,Automatic,7.81,4663,4663,459,132975,Mercedes-Benz,S-Class
241,20,Diesel,7,43495,1,Manual,15.4,2179,2179,120,12150,Mahindra,Scorpio
242,13,Petrol,5,44724,2,Manual,1197,8180,8180,113,3969,Maruti,Swift
243,17,Petrol,5,32740,2,Manual,20.89,1197,1197,8180,5670,Maruti,Ignis
244,22,Petrol,5,7394,1,Automatic,14,1497,1497,11318,24637.5,Hyundai,Creta
245,17,Petrol,5,33396,1,Manual,18.6,1197,1197,8183,7789.499999999999,Hyundai,i20
246,20,Diesel,5,20083,1,Automatic,16.55,1995,1995,1877,67365,BMW,X3
247,15,Petrol,5,34476,1,Manual,19.4,1198,1198,868,4522.5,Honda,Brio
248,20,Petrol,6,12427,1,Automatic,1451,141,141,250,23625,MG,Hector
249,18,Petrol,5,33554,2,Automatic,15.8,1997,1997,247,80662.5,Land,Rover
250,17,Petrol,5,30698,1,Manual,21.4,1197,1197,831,7344.000000000001,Maruti,Baleno
251,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
252,20,Diesel,7,62137,1,Automatic,10.91,3198,3198,197,30375,Ford,Endeavour
253,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
254,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
255,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
256,22,Petrol,7,4970,1,Automatic,1997,200,200,380,32400,Mahindra,Scorpio
257,14,Petrol,5,21027,1,Manual,998,671,671,90,4279.5,Maruti,Wagon
258,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
259,23,Petrol,5,5745,1,Manual,19.4,999,999,11398,21087,Volkswagen,Virtus
260,18,Petrol,7,26097,1,Automatic,10.75,2694,2694,1637,24164.999999999996,Toyota,Innova
261,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
262,18,Diesel,5,26384,1,Manual,27.28,1047,1047,69,5805,Tata,Tiago
263,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
264,21,Diesel,7,18641,1,Automatic,12.05,2157,2157,17849,33412.5,Mahindra,Alturas
265,12,Petrol,5,60061,1,Manual,18.5,1197,1197,8285,3334.5000000000005,Hyundai,i20
266,20,Diesel,5,19883,1,Automatic,1995,188,188,400,24570,BMW,X1
267,14,Petrol,5,24210,1,Manual,18.9,1197,1197,82,5575.5,Hyundai,Grand
268,20,Petrol,5,43495,2,Manual,18.5,1197,1197,805200,2160,Hyundai,i20
269,20,Diesel,5,19883,1,Automatic,1995,188,188,400,26325,BMW,X1
270,17,Petrol,5,39301,1,Manual,18.9,1197,1197,8186,6196.5,Hyundai,Grand
271,20,Diesel,5,19883,1,Automatic,1995,188,188,400,26325,BMW,X1
272,20,Petrol,4,24854,1,Automatic,1998,18740,18740,280,43200,BMW,2
273,16,Petrol,7,50952,1,Manual,19.01,1462,1462,10326,10111.5,Maruti,Ertiga
274,19,Petrol,5,23612,1,Manual,20.73,1373,1373,911,9112.5,Maruti,Ciaz
275,20,Diesel,7,25165,1,Automatic,14.11,2199,2199,19726,34087.5,Kia,Carnival
276,20,Diesel,5,24854,1,Manual,1493,9863,9863,240,15592.500000000002,Kia,Sonet
277,15,Petrol,5,40494,2,Manual,20.36,1197,1197,789,4077,Hyundai,i10
278,18,Petrol,5,31068,1,Manual,17.5,1199,1199,887,9787.5,Honda,WR-V
279,20,Petrol,5,21647,1,Manual,999,6706,6706,91,5238,Renault,KWID
280,21,Petrol,5,18930,1,Automatic,20.28,998,998,11841,14175,Hyundai,i20
281,20,Diesel,5,19883,2,Automatic,16.1,1950,1950,1917,60075,Mercedes-Benz,E-Class
282,18,Diesel,5,31068,1,Automatic,18,1969,1969,190,44550,Volvo,S90
283,14,Petrol,5,30413,1,Manual,19.1,1197,1197,858,5548.5,Maruti,Swift
284,17,Diesel,5,27028,2,Automatic,18.56,1995,1995,190,40365,BMW,X3
285,20,Diesel,5,18641,1,Manual,1493,986,986,24026,10530,Hyundai,Venue
286,17,Petrol,7,44738,1,Automatic,12.81,1997,1997,23736,43875,Land,Rover
287,17,Petrol,5,44341,1,Manual,18.6,1197,1197,8183,7451.999999999999,Hyundai,i20
288,17,Diesel,5,37592,1,Automatic,20.68,1995,1995,188,26932.5,BMW,X1
289,20,Petrol,5,18641,1,Automatic,14.11,1984,1984,2413,66825,Audi,A6
290,18,Diesel,5,39767,1,Manual,21.7,1498,1498,9896,10786.5,Ford,Ecosport
291,13,Petrol,5,16155,2,Automatic,11.9,1595,1595,1207,16807.5,Mercedes-Benz,B
292,16,Petrol,5,37282,1,Automatic,14.7,1496,1496,12069,8761.5,Ford,Ecosport
293,20,Diesel,5,24854,1,Manual,1493,9863,9863,240,15592.500000000002,Kia,Sonet
294,15,Petrol,5,40494,2,Manual,20.36,1197,1197,789,4077,Hyundai,i10
295,18,Petrol,5,31068,1,Manual,17.5,1199,1199,887,9787.5,Honda,WR-V
296,20,Petrol,5,21647,1,Manual,999,6706,6706,91,5238,Renault,KWID
297,18,Petrol,7,44738,2,Automatic,12.81,1997,1997,23736,66825,Land,Rover
298,21,Petrol,5,18930,1,Automatic,20.28,998,998,11841,14175,Hyundai,i20
299,20,Diesel,5,19883,2,Automatic,16.1,1950,1950,1917,60075,Mercedes-Benz,E-Class
300,18,Diesel,5,31068,1,Automatic,18,1969,1969,190,44550,Volvo,S90
